,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
184,Kyle Guy,PG,23,SAC,14,0,8.2,1.0,3.1,.318,0.4,1.7,.250,0.6,1.4,.400,.386,0.5,0.6,.875,0.2,0.8,1.0,1.1,0.3,0.0,0.2,0.6,2.9
185,Rui Hachimura,PF,22,WAS,27,27,30.1,4.5,9.9,.457,0.8,2.6,.304,3.7,7.3,.510,.496,2.7,3.5,.758,1.1,4.4,5.4,1.7,0.7,0.1,1.0,2.3,12.5
186,Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
187,Tyrese Haliburton,PG,20,SAC,30,2,30.1,5.1,10.3,.494,2.4,5.5,.433,2.7,4.9,.562,.608,0.7,0.8,.833,1.0,2.6,3.6,5.4,1.4,0.6,1.5,1.2,13.2
188,Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
189,R.J. Hampton,PG,19,DEN,24,0,9.2,1.0,2.4,.414,0.2,0.8,.278,0.8,1.7,.475,.457,0.3,0.4,.700,0.4,1.5,2.0,0.5,0.2,0.1,0.5,0.9,2.5
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Tim Hardaway Jr.,SG,28,DAL,33,17,29.5,5.8,13.2,.438,2.9,7.6,.385,2.8,5.5,.511,.550,2.0,2.5,.802,0.4,2.8,3.2,1.7,0.6,0.2,0.9,1.5,16.4
192,James Harden,PG-SG,31,TOT,31,31,37.8,8.1,16.7,.484,3.3,8.1,.401,4.8,8.5,.562,.581,5.9,6.9,.859,0.8,7.0,7.8,11.1,1.2,0.7,4.2,2.2,25.3
193,James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
194,James Harden,PG,31,BRK,23,23,38.4,8.3,16.6,.497,3.3,7.8,.422,5.0,8.8,.564,.597,5.7,6.7,.850,0.9,7.8,8.7,11.4,1.3,0.7,4.2,2.3,25.5
195,Maurice Harkless,SF,27,MIA,10,3,10.9,0.4,1.0,.400,0.4,0.8,.500,0.0,0.2,.000,.600,0.0,0.2,.000,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2
196,Jared Harper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
197,Montrezl Harrell,C,27,LAL,37,1,24.1,5.6,9.0,.626,0.0,0.2,.000,5.6,8.9,.637,.626,2.5,3.3,.756,2.4,4.0,6.4,1.1,0.6,0.7,1.1,2.1,13.8
198,Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
199,Jalen Harris,SG,22,TOR,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0
200,Joe Harris,SF,29,BRK,37,33,30.9,5.4,10.2,.530,3.4,6.7,.506,2.0,3.5,.577,.697,0.6,0.8,.700,0.5,3.0,3.5,1.8,0.5,0.2,0.8,2.2,14.8
201,Tobias Harris,PF,28,PHI,31,31,34.4,7.8,15.2,.513,1.6,4.1,.402,6.1,11.1,.554,.567,3.0,3.4,.887,1.2,6.4,7.6,3.4,0.8,0.8,1.9,2.1,20.2
202,Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
203,Josh Hart,SF,25,NOP,36,3,28.7,3.2,7.1,.447,1.4,4.1,.333,1.8,3.0,.602,.543,1.5,1.9,.757,1.1,6.3,7.3,2.1,0.8,0.3,0.8,2.4,9.2
204,Isaiah Hartenstein,C,22,DEN,26,0,9.3,1.5,2.9,.513,0.0,0.0,,1.5,2.9,.513,.513,0.8,1.3,.588,1.4,1.4,2.8,0.5,0.4,0.6,0.7,2.0,3.8
205,Jaxson Hayes,C,20,NOP,25,1,12.4,1.8,2.7,.676,0.0,0.0,,1.8,2.7,.676,.676,0.8,1.2,.655,1.2,2.3,3.6,0.4,0.4,0.5,0.6,1.8,4.4
206,Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
207,Gordon Hayward,SF,30,CHO,31,31,34.8,7.9,16.2,.487,2.1,5.1,.405,5.8,11.1,.525,.551,3.7,4.3,.857,0.9,4.5,5.4,3.9,1.3,0.4,2.0,1.8,21.5
208,Juan Hernangómez,PF,25,MIN,17,6,15.9,2.1,5.3,.400,0.9,3.1,.302,1.2,2.2,.541,.489,0.8,1.1,.684,0.8,3.6,4.4,0.6,0.4,0.1,0.4,0.8,5.9
209,Willy Hernangómez,C,26,NOP,20,2,18.0,3.0,5.5,.545,0.1,0.3,.200,3.0,5.3,.562,.550,1.2,1.8,.667,2.7,4.3,7.0,1.3,0.4,0.5,0.6,1.4,7.3
210,Tyler Herro,SG,21,MIA,25,14,32.7,6.0,13.8,.438,2.0,5.8,.347,4.0,8.0,.502,.510,1.8,2.3,.772,0.4,5.3,5.7,3.6,0.6,0.4,2.4,1.6,15.8
211,Buddy Hield,SG,28,SAC,36,36,34.8,5.5,14.1,.391,3.9,10.3,.378,1.6,3.8,.423,.529,1.5,1.8,.844,0.3,4.2,4.5,3.2,0.8,0.3,1.8,2.7,16.4
212,George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Solomon Hill,PF,29,ATL,36,1,19.1,1.5,4.1,.356,1.0,3.1,.318,0.5,1.1,.462,.473,0.4,0.5,.882,0.5,1.8,2.3,0.9,0.7,0.2,0.6,1.6,4.3
215,Nate Hinton,SG,21,DAL,6,0,3.2,0.5,2.2,.231,0.2,0.8,.200,0.3,1.3,.250,.269,0.2,0.3,.500,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
216,Aaron Holiday,PG,24,IND,35,6,19.1,2.7,7.3,.371,1.1,3.1,.352,1.6,4.2,.385,.445,0.8,1.1,.725,0.2,1.1,1.3,1.8,0.6,0.1,0.8,1.8,7.3
217,Jrue Holiday,PG,30,MIL,26,23,31.0,6.1,12.5,.491,1.7,4.7,.364,4.4,7.8,.567,.559,1.4,1.8,.766,1.2,3.2,4.3,5.1,1.8,0.5,1.6,1.7,15.3
218,Justin Holiday,SG,31,IND,35,26,32.3,4.0,8.7,.459,2.5,6.1,.414,1.4,2.5,.568,.606,1.2,1.4,.820,0.6,3.3,4.0,1.7,1.2,0.4,0.8,2.2,11.7
219,Richaun Holmes,C,27,SAC,32,32,29.4,5.6,8.6,.651,0.0,0.2,.167,5.6,8.4,.662,.653,1.8,2.3,.806,2.5,5.8,8.3,1.7,0.7,1.5,1.3,4.0,13.0
220,Rodney Hood,SF,28,POR,30,5,19.2,2.1,5.6,.369,0.7,2.2,.299,1.4,3.4,.416,.429,0.2,0.3,.625,0.3,1.4,1.7,1.1,0.6,0.1,0.8,1.4,5.0
221,Al Horford,C,34,OKC,24,24,28.2,5.8,13.0,.442,2.0,5.5,.356,3.8,7.5,.506,.518,0.6,0.8,.778,1.0,5.7,6.7,3.5,0.9,0.9,1.1,1.8,14.0
222,Talen Horton-Tucker,SG,20,LAL,33,1,17.5,2.8,6.5,.441,0.5,1.9,.286,2.3,4.5,.507,.484,1.0,1.2,.821,0.3,2.1,2.4,2.0,0.8,0.6,1.3,2.1,7.2
223,Danuel House,SF,27,HOU,22,12,27.4,3.1,8.4,.375,1.5,5.0,.312,1.6,3.4,.467,.467,1.3,1.7,.757,0.7,3.2,4.0,1.9,0.6,0.5,1.0,2.0,9.1
224,Dwight Howard,C,35,PHI,36,4,15.9,2.3,3.8,.587,0.1,0.3,.364,2.1,3.5,.606,.601,1.5,2.8,.530,2.5,4.8,7.3,0.8,0.4,0.9,1.7,2.9,6.1
225,Markus Howard,SG,21,DEN,17,0,3.2,0.4,1.8,.194,0.2,1.3,.136,0.2,0.5,.333,.242,0.1,0.1,.500,0.0,0.3,0.3,0.4,0.1,0.0,0.2,0.4,0.9
226,Kevin Huerter,SG,22,ATL,36,25,32.1,4.6,10.8,.426,2.1,5.9,.365,2.4,4.9,.500,.526,0.8,0.9,.824,0.7,2.9,3.6,3.7,1.3,0.2,1.3,2.4,12.1
227,Elijah Hughes,SF,22,UTA,6,0,4.5,0.8,2.5,.333,0.5,1.7,.300,0.3,0.8,.400,.433,0.5,0.7,.750,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7
228,De'Andre Hunter,SF,23,ATL,18,18,32.2,6.0,11.7,.514,1.7,4.6,.366,4.3,7.1,.609,.586,3.6,4.1,.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
229,Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
230,Serge Ibaka,C,31,LAC,37,37,24.0,4.6,9.0,.508,1.0,2.8,.356,3.6,6.2,.576,.563,1.0,1.2,.818,1.7,5.0,6.6,1.8,0.2,1.2,1.1,2.0,11.1
231,Andre Iguodala,SF,37,MIA,34,2,21.6,1.7,4.3,.388,1.1,3.3,.339,0.6,1.0,.543,.517,0.4,0.7,.560,0.6,3.1,3.7,2.3,1.1,0.5,1.1,1.5,4.9
232,Joe Ingles,SF,33,UTA,32,9,26.4,4.0,7.7,.522,2.5,5.3,.465,1.5,2.3,.653,.684,1.1,1.2,.895,0.4,2.9,3.3,4.4,0.5,0.3,1.6,1.8,11.5
233,Brandon Ingram,SF,23,NOP,36,36,34.9,8.5,18.0,.472,2.4,6.2,.379,6.1,11.8,.521,.538,4.6,5.1,.886,0.6,4.5,5.1,4.8,0.7,0.8,2.3,2.0,23.9
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Kyrie Irving,PG,28,BRK,26,26,35.5,10.3,20.3,.510,2.9,7.1,.411,7.4,13.2,.564,.583,3.6,4.1,.887,1.2,3.6,4.8,6.0,1.1,0.6,2.3,2.8,27.2
236,Wesley Iwundu,SF,26,DAL,20,3,12.3,0.7,2.4,.298,0.2,1.2,.130,0.6,1.2,.458,.330,0.5,0.6,.818,0.3,1.5,1.8,0.4,0.4,0.2,0.3,1.0,2.0
237,Frank Jackson,PG,22,DET,9,0,6.0,0.7,2.4,.273,0.4,1.4,.308,0.2,1.0,.222,.364,0.0,0.0,,0.0,0.9,0.9,1.1,0.1,0.0,0.4,0.6,1.8
238,Josh Jackson,SG,23,DET,32,6,24.9,4.8,11.3,.425,1.3,4.4,.291,3.5,6.9,.511,.482,2.6,3.8,.694,1.1,3.3,4.4,1.9,0.9,0.9,2.3,2.9,13.5
239,Justin Jackson,SF,25,OKC,25,2,16.2,2.4,6.0,.409,0.9,3.2,.291,1.5,2.8,.543,.487,0.6,0.8,.800,0.4,1.9,2.3,1.5,0.4,0.0,1.0,1.0,6.4
240,Reggie Jackson,SG,30,LAC,35,16,20.3,3.3,7.1,.456,1.3,3.3,.400,1.9,3.9,.504,.548,0.9,1.2,.756,0.4,2.2,2.6,2.9,0.6,0.1,1.0,1.9,8.7
241,Justin James,SF,24,SAC,13,0,5.3,0.7,1.8,.391,0.2,0.7,.222,0.5,1.1,.500,.435,0.2,0.6,.250,0.2,0.5,0.7,0.4,0.2,0.1,0.2,0.2,1.7
242,LeBron James,PG,36,LAL,36,36,34.6,9.7,19.1,.509,2.4,6.7,.358,7.3,12.4,.591,.572,4.0,5.8,.692,0.6,7.4,8.0,7.8,1.1,0.6,3.8,1.6,25.8
243,DaQuan Jeffries,SG,23,SAC,12,2,15.8,1.8,4.3,.423,0.7,2.0,.333,1.2,2.3,.500,.500,0.5,0.6,.857,0.6,1.2,1.8,0.3,0.4,0.3,0.4,1.4,4.8
244,Ty Jerome,SG,23,OKC,4,0,25.0,3.8,7.5,.500,1.8,4.8,.368,2.0,2.8,.727,.617,0.0,0.0,,0.8,2.0,2.8,3.3,0.8,0.0,0.5,3.5,9.3
245,Isaiah Joe,SG,21,PHI,20,1,12.0,1.5,4.0,.367,1.2,3.0,.383,0.3,1.0,.316,.513,0.3,0.3,1.000,0.3,0.9,1.2,0.8,0.4,0.2,0.3,1.1,4.3
246,Cameron Johnson,PF,24,PHO,34,9,24.2,3.7,8.4,.437,2.1,5.7,.378,1.5,2.7,.559,.565,0.9,1.1,.865,0.6,2.8,3.4,1.4,0.6,0.3,0.8,1.4,10.4
247,James Johnson,PF,33,DAL,27,1,17.9,2.4,5.2,.464,0.6,2.1,.259,1.9,3.0,.610,.518,0.5,1.0,.538,0.4,2.6,3.1,1.7,0.9,0.8,1.0,2.0,5.9
248,Keldon Johnson,SF,21,SAS,29,27,29.1,5.2,11.0,.472,1.0,3.0,.326,4.2,8.1,.526,.516,2.7,3.5,.782,1.6,5.0,6.7,2.2,0.8,0.5,1.4,2.3,14.1
249,Stanley Johnson,PF,24,TOR,32,2,13.8,1.0,2.5,.392,0.6,1.6,.400,0.3,0.9,.379,.519,0.3,0.4,.786,0.5,1.7,2.2,1.3,0.8,0.3,0.7,1.5,2.9
250,Tyler Johnson,SG,28,BRK,18,1,13.9,1.6,4.0,.389,1.2,2.8,.412,0.4,1.2,.333,.535,0.4,0.4,1.000,0.2,1.5,1.7,0.9,0.3,0.0,0.3,0.7,4.7
251,Nikola Jokić,C,25,DEN,36,36,35.9,10.5,18.6,.567,1.6,3.7,.418,9.0,14.8,.605,.609,4.5,5.1,.881,2.8,8.2,11.0,8.6,1.6,0.6,3.2,3.0,27.1
252,Damian Jones,C,25,TOT,17,1,7.4,0.8,1.2,.619,0.0,0.1,.000,0.8,1.2,.650,.619,0.5,0.8,.615,0.5,0.8,1.4,0.2,0.1,0.5,0.4,1.5,2.0
253,Damian Jones,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
254,Damian Jones,C,25,LAL,3,1,10.3,1.7,1.7,1.000,0.0,0.0,,1.7,1.7,1.000,1.000,0.7,0.7,1.000,0.7,1.0,1.7,0.0,0.0,1.3,0.0,2.0,4.0
255,Derrick Jones Jr.,SF,23,POR,31,30,27.0,3.0,5.9,.505,0.8,2.5,.333,2.1,3.4,.635,.577,1.3,2.0,.645,1.9,2.9,4.8,0.9,0.8,1.1,0.7,2.4,8.1
256,Mason Jones,SG,22,HOU,22,1,11.1,1.7,4.0,.437,0.8,2.2,.367,0.9,1.7,.526,.540,1.3,2.0,.651,0.2,1.9,2.1,1.3,0.3,0.0,1.2,1.0,5.5
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Tre Jones,PG,21,SAS,12,0,3.6,0.8,1.3,.600,0.1,0.1,1.000,0.7,1.2,.571,.633,0.4,0.4,1.000,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.3,2.0
259,Tyus Jones,PG,24,MEM,32,8,21.6,3.5,7.8,.442,0.8,2.7,.294,2.7,5.2,.518,.492,0.5,0.6,.850,0.5,2.1,2.5,4.6,1.3,0.1,0.9,0.4,8.3
260,DeAndre Jordan,C,32,BRK,35,26,22.8,3.3,4.3,.762,0.0,0.0,.000,3.3,4.3,.767,.762,0.8,1.6,.518,1.8,5.7,7.5,1.9,0.3,1.5,1.7,2.2,7.4
261,Cory Joseph,PG,29,SAC,36,2,20.8,2.5,5.6,.448,0.7,2.1,.320,1.8,3.5,.524,.507,0.8,1.0,.771,0.6,1.6,2.2,2.4,0.7,0.2,1.0,2.3,6.4
262,Mfiondu Kabengele,PF,23,LAC,20,0,4.1,0.4,1.3,.269,0.2,0.8,.200,0.2,0.6,.364,.327,0.2,0.2,.750,0.1,0.5,0.6,0.3,0.1,0.2,0.3,0.7,1.0
263,Frank Kaminsky,C,27,PHO,27,11,15.9,2.9,6.1,.467,1.0,2.3,.419,1.9,3.8,.495,.545,0.6,1.1,.586,0.8,3.1,3.9,1.7,0.3,0.4,0.5,1.4,7.3
264,Enes Kanter,C,28,POR,35,23,26.3,5.1,8.5,.594,0.0,0.0,,5.1,8.5,.594,.594,1.8,2.4,.750,4.2,7.7,11.9,1.1,0.5,0.7,1.2,2.7,11.9
265,Luke Kennard,SG,24,LAC,34,7,20.1,2.8,6.0,.463,1.5,3.4,.456,1.2,2.6,.472,.591,0.4,0.4,.867,0.2,2.4,2.6,1.7,0.3,0.2,0.9,1.6,7.4
266,Maxi Kleber,PF,29,DAL,22,16,25.9,2.2,5.0,.440,1.7,3.7,.451,0.5,1.2,.407,.610,1.0,1.0,.957,0.9,4.5,5.3,1.4,0.5,0.9,0.5,2.3,7.0
267,Nathan Knight,PF,23,ATL,10,0,5.8,0.9,2.3,.391,0.3,0.9,.333,0.6,1.4,.429,.457,0.7,0.8,.875,0.8,0.7,1.5,0.1,0.2,0.3,0.5,0.7,2.8
268,Kevin Knox,SF,21,NYK,26,0,15.3,1.8,4.6,.395,1.1,2.8,.389,0.7,1.8,.404,.513,0.4,0.5,.786,0.3,1.5,1.9,0.7,0.3,0.2,0.6,1.3,5.1
269,John Konchar,SG,24,MEM,19,0,16.2,1.5,3.5,.424,0.4,1.2,.304,1.1,2.3,.488,.477,0.8,0.9,.889,0.9,2.6,3.6,1.2,0.9,0.3,0.4,1.4,4.2
270,Furkan Korkmaz,SG,23,PHI,25,3,18.7,2.8,7.2,.383,1.6,4.5,.345,1.2,2.7,.448,.492,1.0,1.2,.800,0.2,2.2,2.4,0.8,0.6,0.2,1.0,1.2,8.0
271,Luke Kornet,PF,25,CHI,10,0,8.3,0.9,2.6,.346,0.6,2.2,.273,0.3,0.4,.750,.462,0.2,0.2,1.000,0.1,1.4,1.5,0.4,0.2,0.6,0.1,0.1,2.6
272,Rodions Kurucs,SF-PF,22,TOT,16,0,5.7,0.4,1.5,.250,0.2,1.1,.176,0.2,0.4,.429,.313,0.1,0.1,.500,0.1,0.8,0.9,0.4,0.4,0.3,0.6,0.5,1.0
273,Rodions Kurucs,PF,22,BRK,5,0,3.2,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,.500,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6
274,Rodions Kurucs,SF,22,HOU,11,0,6.8,0.5,1.9,.238,0.2,1.4,.133,0.3,0.5,.500,.286,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2
275,Kyle Kuzma,SF,25,LAL,36,11,25.9,4.5,10.1,.444,1.8,4.9,.365,2.7,5.2,.519,.533,0.7,1.1,.632,2.1,4.6,6.7,1.1,0.4,0.6,1.5,1.8,11.5
276,Jeremy Lamb,SG,28,IND,21,8,23.1,3.7,7.9,.473,1.6,3.6,.447,2.1,4.2,.494,.576,2.3,2.4,.941,0.7,3.0,3.7,1.6,0.9,0.5,0.8,2.1,11.3
277,Zach LaVine,SG,25,CHI,34,34,35.6,10.3,19.6,.525,3.5,8.1,.435,6.8,11.5,.588,.615,4.6,5.4,.857,0.7,4.5,5.2,5.1,1.1,0.4,3.9,2.6,28.7
278,Jake Layman,SF,26,MIN,24,4,15.5,2.5,4.8,.513,0.6,2.0,.319,1.8,2.8,.647,.578,0.9,1.1,.778,0.3,1.3,1.5,0.7,0.8,0.5,0.7,1.1,6.4
279,Jalen Lecque,PG,20,IND,3,0,3.0,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,1.0,1.0,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.0,0.0,1.7
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Damion Lee,SG,28,GSW,37,1,19.2,2.1,4.8,.446,1.4,3.7,.377,0.7,1.1,.692,.593,0.8,0.8,.903,0.4,3.0,3.4,1.4,0.7,0.1,0.5,1.5,6.4
282,Saben Lee,PG,21,DET,15,0,15.9,2.5,4.7,.543,0.3,0.4,.667,2.3,4.3,.531,.571,1.7,2.6,.667,0.4,1.1,1.5,2.3,0.7,0.3,0.9,1.7,7.1
283,Alex Len,C,27,TOT,26,6,13.5,2.1,3.3,.628,0.2,0.8,.300,1.8,2.5,.727,.663,0.9,1.6,.571,0.7,2.4,3.1,0.9,0.3,1.2,1.0,1.8,5.3
284,Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
285,Alex Len,C,27,WAS,19,4,14.5,2.6,4.0,.645,0.2,0.7,.214,2.4,3.3,.742,.664,1.1,1.9,.583,1.0,2.7,3.7,1.1,0.4,1.4,0.9,1.9,6.4
286,Kawhi Leonard,SF,29,LAC,30,30,34.6,9.6,18.7,.511,2.0,5.2,.387,7.6,13.6,.558,.564,5.5,6.3,.873,0.9,5.3,6.3,4.9,1.5,0.5,1.9,1.6,26.6
287,Meyers Leonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
288,Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,.435,1.8,5.3,.349,5.4,11.4,.474,.490,2.2,2.8,.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5
289,Kira Lewis Jr.,PG,19,NOP,21,0,13.0,2.0,5.1,.389,0.6,1.9,.333,1.4,3.3,.420,.449,0.6,1.0,.650,0.1,0.7,0.8,1.8,0.6,0.0,0.4,1.2,5.2
290,Damian Lillard,PG,30,POR,34,34,36.0,9.3,20.8,.445,4.3,11.2,.384,5.0,9.6,.515,.548,7.0,7.5,.933,0.4,3.8,4.3,8.0,1.0,0.3,3.3,1.6,29.8
291,Nassir Little,PF,20,POR,20,2,12.0,1.7,3.5,.471,0.9,1.9,.459,0.8,1.7,.485,.593,1.1,1.3,.880,0.7,1.6,2.3,0.4,0.2,0.3,0.5,1.1,5.3
292,Kevon Looney,C,24,GSW,27,10,14.9,1.6,2.7,.595,0.1,0.2,.333,1.6,2.5,.618,.608,0.6,0.8,.762,1.8,2.4,4.2,1.6,0.4,0.3,0.6,1.9,3.9
293,Brook Lopez,C,32,MIL,36,36,27.1,3.9,8.4,.467,1.5,4.4,.348,2.4,4.0,.597,.558,1.4,1.7,.820,1.4,3.7,5.1,0.6,0.5,1.3,0.9,2.1,10.8
294,Robin Lopez,C,32,WAS,34,9,20.3,3.3,5.6,.593,0.1,0.4,.308,3.2,5.2,.614,.603,1.6,2.2,.697,2.3,1.9,4.2,0.9,0.3,0.6,1.1,1.9,8.3
295,Kevin Love,PF,32,CLE,2,2,23.0,3.0,9.0,.333,1.5,4.5,.333,1.5,4.5,.333,.417,2.0,2.5,.800,1.0,5.0,6.0,2.5,0.5,0.0,1.5,0.5,9.5
296,Kyle Lowry,PG,34,TOR,29,29,34.6,6.0,13.1,.457,2.9,7.1,.403,3.1,6.0,.520,.566,3.1,3.7,.858,0.8,4.7,5.5,7.0,1.2,0.2,2.8,3.2,18.0
297,Timothé Luwawu-Cabarrot,SF,25,BRK,34,6,19.7,2.5,6.5,.389,1.6,4.3,.363,1.0,2.2,.440,.509,0.6,0.8,.769,0.5,1.8,2.4,1.3,0.7,0.1,0.7,1.9,7.2
298,Trey Lyles,PF,25,SAS,19,7,16.4,2.2,4.4,.506,0.7,1.9,.378,1.5,2.4,.609,.590,0.6,1.0,.632,0.4,3.6,4.1,0.6,0.3,0.1,0.2,0.6,5.8
299,Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
300,Théo Maledon,PG,19,OKC,31,16,25.7,2.8,7.0,.394,1.5,4.1,.354,1.3,2.9,.451,.498,0.8,1.0,.750,0.2,2.7,3.0,3.3,1.0,0.1,1.8,2.2,7.8
301,Karim Mané,PG,20,ORL,6,0,9.3,0.2,1.5,.111,0.2,0.3,.500,0.0,1.2,.000,.167,0.7,0.7,1.000,0.0,1.7,1.7,0.2,0.0,0.2,0.5,0.5,1.2
302,Terance Mann,SG,24,LAC,35,3,15.7,1.8,3.7,.481,0.4,1.0,.382,1.4,2.7,.516,.531,0.9,1.1,.800,0.9,2.4,3.3,1.3,0.4,0.2,0.7,1.7,4.8
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Nico Mannion,PG,19,GSW,7,1,9.6,0.9,3.3,.261,0.7,2.0,.357,0.1,1.3,.111,.370,0.1,0.6,.250,0.0,1.7,1.7,2.6,0.4,0.0,1.0,1.1,2.6
305,Boban Marjanović,C,32,DAL,18,1,7.8,2.0,4.0,.500,0.0,0.2,.000,2.0,3.8,.529,.500,0.6,0.8,.714,1.5,2.4,3.9,0.2,0.1,0.1,0.4,0.9,4.6
306,Lauri Markkanen,PF,23,CHI,14,14,30.4,6.8,13.2,.514,2.9,7.2,.396,3.9,6.0,.655,.622,2.7,3.2,.844,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1
307,Naji Marshall,SF,23,NOP,3,0,2.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.3,0.7,.500,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.3
308,Caleb Martin,SF,25,CHO,26,1,15.2,2.1,5.1,.414,0.7,2.2,.333,1.4,2.9,.474,.485,0.5,1.0,.538,0.8,2.0,2.8,1.2,0.8,0.3,0.7,1.0,5.5
309,Cody Martin,SF,25,CHO,23,2,11.7,1.4,2.8,.516,0.2,0.9,.200,1.3,1.9,.659,.547,0.3,0.4,.800,0.8,1.5,2.3,1.0,0.5,0.2,0.7,0.6,3.4
310,Kelan Martin,SF,25,IND,12,0,4.0,0.6,1.7,.350,0.2,0.8,.222,0.4,0.9,.455,.400,0.2,0.2,1.000,0.1,0.9,1.0,0.0,0.3,0.0,0.3,0.4,1.5
311,Kenyon Martin Jr.,SF,20,HOU,7,0,9.9,1.4,3.9,.370,0.1,0.6,.250,1.3,3.3,.391,.389,0.3,0.7,.400,1.1,1.6,2.7,0.6,0.3,0.7,0.7,1.3,3.3
312,Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3
313,Garrison Mathews,SG,24,WAS,28,12,16.2,1.9,4.5,.421,1.4,3.6,.400,0.5,0.9,.500,.579,1.6,1.8,.920,0.4,1.4,1.8,0.5,0.7,0.2,0.1,1.6,6.9
