,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
84,Devontae Cacok,PF,24,LAL,4,0,4.3,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.5,.000,0.3,1.0,1.3,0.0,0.5,0.0,0.5,0.0,2.0
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kentavious Caldwell-Pope,SG,27,LAL,33,33,26.2,3.0,6.8,.438,1.5,3.8,.402,1.4,2.9,.485,.551,1.2,1.4,.848,0.5,1.9,2.4,1.4,0.8,0.3,1.0,1.7,8.7
87,Facundo Campazzo,PG,29,DEN,30,1,16.3,1.7,4.2,.405,1.1,2.9,.379,0.6,1.3,.462,.536,1.0,1.2,.811,0.2,0.9,1.0,2.1,1.0,0.2,0.8,1.9,5.5
88,Vlatko Čančar,PF,23,DEN,20,0,6.1,0.6,1.4,.393,0.2,0.7,.214,0.4,0.7,.571,.446,0.3,0.3,.833,0.2,1.2,1.4,0.3,0.4,0.1,0.5,0.6,1.5
89,Clint Capela,C,26,ATL,32,32,29.7,6.5,11.0,.589,0.0,0.0,,6.5,11.0,.589,.589,1.7,3.1,.550,5.0,9.2,14.2,0.9,0.8,2.2,1.4,2.3,14.7
90,Vernon Carey Jr.,C,19,CHO,3,0,2.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.3,0.7,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0
91,Jevon Carter,PG,25,PHO,29,0,10.0,1.0,2.9,.357,0.6,2.0,.298,0.4,0.9,.481,.458,0.1,0.1,1.000,0.1,1.2,1.3,1.2,0.4,0.2,0.2,1.1,2.7
92,Wendell Carter Jr.,C,21,CHI,23,23,26.9,4.6,8.6,.535,0.3,0.9,.350,4.3,7.7,.556,.553,2.7,3.7,.733,2.1,5.7,7.8,2.3,0.7,0.8,1.9,3.2,12.3
93,Michael Carter-Williams,SG,29,ORL,17,12,26.5,3.4,8.5,.403,0.5,1.8,.258,2.9,6.6,.442,.431,1.7,2.2,.763,1.6,3.2,4.8,4.1,0.6,0.5,1.9,2.9,9.0
